Date,-TBond Futures-Volume,-TBond Futures-Previous Day Open Interest,-TBond Futures-Open
1977-08-22,,148.0,102.25
1977-08-23,341.0,178.0,102.375
1977-08-24,145.0,325.0,102.781
1977-08-25,207.0,383.0,102.719
1977-08-26,158.0,426.0,103.031
1977-08-29,168.0,398.0,103.375
1977-08-30,168.0,388.0,102.969
1977-08-31,160.0,361.0,103.094
1977-09-01,131.0,382.0,103.0
1977-09-02,77.0,410.0,103.281
1977-09-06,86.0,417.0,103.531
1977-09-07,78.0,463.0,103.156
1977-09-08,78.0,504.0,103.188
1977-09-09,112.0,539.0,102.875
1977-09-12,186.0,577.0,102.656
1977-09-13,69.0,598.0,102.75
1977-09-14,123.0,699.0,103.062
1977-09-15,184.0,748.0,103.188
1977-09-16,188.0,812.0,103.375
1977-09-19,282.0,839.0,103.375
1977-09-20,84.0,804.0,103.156
1977-09-21,165.0,808.0,103.062
1977-09-22,140.0,817.0,103.094
1977-09-23,67.0,835.0,102.781
1977-09-26,188.0,810.0,102.875
1977-09-27,108.0,832.0,102.781
1977-09-28,187.0,868.0,103.156
1977-09-29,95.0,823.0,102.906
1977-09-30,194.0,763.0,103.0
1977-10-03,163.0,777.0,102.812
1977-10-04,97.0,827.0,102.781
1977-10-05,154.0,860.0,102.938
1977-10-06,156.0,773.0,102.625
1977-10-07,198.0,680.0,102.562
1977-10-10,258.0,613.0,102.312
1977-10-11,85.0,548.0,102.25
1977-10-12,160.0,516.0,101.75
1977-10-13,107.0,470.0,101.531
1977-10-14,148.0,440.0,101.5
1977-10-17,72.0,428.0,101.844
1977-10-18,37.0,511.0,101.719
1977-10-19,231.0,437.0,101.656
1977-10-20,178.0,426.0,101.875
1977-10-21,110.0,402.0,101.75
1977-10-24,113.0,468.0,101.812
1977-10-25,112.0,431.0,101.656
1977-10-26,57.0,417.0,101.656
1977-10-27,85.0,420.0,101.625
1977-10-28,76.0,404.0,101.562
1977-10-31,142.0,417.0,101.719
1977-11-01,94.0,481.0,100.875
1977-11-02,265.0,453.0,100.75
1977-11-03,301.0,539.0,100.75
1977-11-04,199.0,515.0,101.031
1977-11-07,171.0,458.0,101.125
1977-11-08,69.0,473.0,101.281
1977-11-09,32.0,454.0,101.531
1977-11-10,198.0,479.0,101.281
1977-11-11,214.0,507.0,101.781
1977-11-14,158.0,511.0,102.031
1977-11-15,452.0,520.0,101.594
1977-11-16,198.0,538.0,101.688
1977-11-17,269.0,551.0,101.938
1977-11-18,146.0,518.0,101.844
1977-11-21,272.0,506.0,101.906
1977-11-22,53.0,523.0,101.719
1977-11-23,113.0,532.0,101.969
1977-11-25,40.0,505.0,102.062
1977-11-28,13.0,481.0,101.906
1977-11-29,35.0,615.0,101.844
1977-11-30,327.0,596.0,101.844
1977-12-01,28.0,611.0,101.75
1977-12-02,32.0,619.0,101.625
1977-12-05,59.0,607.0,101.312
1977-12-06,12.0,606.0,101.125
1977-12-07,3.0,621.0,100.906
1977-12-08,18.0,809.0,101.062
1977-12-09,247.0,908.0,101.281
1977-12-12,207.0,908.0,101.0
1977-12-13,20.0,857.0,100.844
1977-12-14,51.0,853.0,100.781
1977-12-15,10.0,873.0,100.719
1977-12-16,65.0,873.0,100.656
1977-12-19,70.0,765.0,100.562
1977-12-20,62.0,729.0,100.0
1977-12-21,51.0,712.0,99.5
