Date,Crude Futures-Volume,Crude Futures-Previous Day Open Interest,Crude Futures-Open
1983-03-30,,470.0,29.01
1983-03-31,949.0,523.0,29.4
1983-04-04,521.0,583.0,29.3
1983-04-05,156.0,623.0,29.5
1983-04-06,175.0,640.0,29.9
1983-04-07,392.0,795.0,29.9
1983-04-08,817.0,651.0,30.65
1983-04-11,365.0,681.0,30.4
1983-04-12,265.0,711.0,30.5
1983-04-13,469.0,823.0,30.6
1983-04-14,657.0,805.0,30.7
1983-04-15,202.0,908.0,30.55
1983-04-18,295.0,940.0,30.56
1983-04-19,128.0,987.0,30.7
1983-04-20,324.0,1044.0,30.65
1983-04-21,188.0,1060.0,30.75
1983-04-22,105.0,1075.0,30.62
1983-04-25,307.0,1087.0,30.78
1983-04-26,113.0,1090.0,30.81
1983-04-27,93.0,1074.0,30.8
1983-04-28,24.0,1223.0,30.73
1983-04-29,563.0,927.0,30.7
1983-05-02,323.0,879.0,30.66
1983-05-03,90.0,782.0,30.7
1983-05-04,333.0,627.0,30.5
1983-05-05,249.0,572.0,30.47
1983-05-06,115.0,634.0,30.18
1983-05-09,248.0,527.0,30.4
1983-05-10,209.0,536.0,30.15
1983-05-11,131.0,536.0,30.15
1983-05-12,227.0,325.0,29.64
1983-05-13,226.0,254.0,29.61
1983-05-16,92.0,211.0,29.85
1983-05-17,146.0,80.0,30.05
1983-05-18,124.0,64.0,29.75
1983-05-19,88.0,1055.0,29.95
1983-05-20,89.0,1124.0,30.1
1983-05-23,795.0,988.0,30.25
1983-05-24,214.0,988.0,30.05
1983-05-25,207.0,950.0,29.95
1983-05-26,29.0,987.0,30.3
1983-05-27,241.0,991.0,30.25
1983-05-31,159.0,973.0,30.05
1983-06-01,67.0,898.0,30.2
1983-06-02,42.0,900.0,30.45
1983-06-03,45.0,847.0,30.3
1983-06-06,160.0,763.0,30.35
1983-06-07,116.0,715.0,30.1
1983-06-08,286.0,633.0,30.59
1983-06-09,331.0,527.0,30.6
1983-06-10,237.0,453.0,30.55
1983-06-13,352.0,375.0,30.86
1983-06-14,276.0,330.0,31.0
1983-06-15,162.0,264.0,31.1
1983-06-16,157.0,231.0,31.3
1983-06-17,150.0,250.0,31.6
1983-06-20,128.0,1497.0,31.37
1983-06-21,188.0,1463.0,31.32
1983-06-22,158.0,1554.0,31.18
1983-06-23,601.0,1592.0,31.15
1983-06-24,204.0,1602.0,31.09
1983-06-27,161.0,1614.0,31.25
1983-06-28,57.0,1648.0,31.08
1983-06-29,290.0,1482.0,31.2
1983-06-30,242.0,1447.0,31.25
1983-07-01,292.0,1426.0,31.4
1983-07-05,39.0,1377.0,31.3
1983-07-06,63.0,1355.0,31.2
1983-07-07,711.0,1142.0,31.3
1983-07-08,213.0,1113.0,31.4
1983-07-11,255.0,815.0,31.5
1983-07-12,82.0,639.0,31.74
1983-07-13,583.0,550.0,31.88
1983-07-14,379.0,370.0,31.8
1983-07-15,181.0,433.0,31.85
1983-07-18,196.0,260.0,31.75
1983-07-19,153.0,1678.0,31.6
1983-07-20,331.0,1725.0,31.65
1983-07-21,88.0,1807.0,31.6
1983-07-22,143.0,1829.0,31.55
1983-07-25,131.0,1789.0,31.35
1983-07-26,60.0,1614.0,31.42
1983-07-27,97.0,1542.0,31.7
1983-07-28,224.0,1644.0,31.73
1983-07-29,505.0,1267.0,31.9
1983-08-01,251.0,1104.0,32.1
1983-08-02,261.0,1090.0,32.3
1983-08-03,149.0,1129.0,32.15
1983-08-04,130.0,1023.0,32.3
1983-08-05,199.0,1067.0,32.1
1983-08-08,126.0,1073.0,32.03
1983-08-09,67.0,885.0,31.98
1983-08-10,176.0,787.0,32.15
1983-08-11,244.0,749.0,32.18
1983-08-12,286.0,766.0,32.0
1983-08-15,169.0,765.0,32.0
1983-08-16,238.0,722.0,31.99
1983-08-17,114.0,489.0,31.9
1983-08-18,247.0,395.0,31.88
1983-08-19,49.0,1838.0,31.62
1983-08-22,125.0,1730.0,31.61
1983-08-23,127.0,1618.0,31.55
1983-08-24,140.0,1631.0,31.79
1983-08-25,104.0,1699.0,31.63
1983-08-26,329.0,1833.0,31.77
1983-08-29,259.0,1749.0,31.7
1983-08-30,133.0,1724.0,31.62
1983-08-31,111.0,1723.0,31.62
1983-09-01,125.0,1714.0,31.56
1983-09-02,72.0,1781.0,31.6
1983-09-06,208.0,1762.0,31.48
1983-09-07,192.0,1694.0,31.42
1983-09-08,181.0,1719.0,31.35
1983-09-09,289.0,1695.0,31.4
1983-09-12,305.0,1653.0,31.24
1983-09-13,283.0,1289.0,31.15
1983-09-14,567.0,1443.0,31.18
1983-09-15,353.0,1085.0,31.5
1983-09-16,352.0,970.0,31.5
1983-09-19,213.0,2551.0,31.55
1983-09-20,73.0,2496.0,31.49
1983-09-21,262.0,2359.0,31.28
1983-09-22,932.0,2294.0,31.35
1983-09-23,157.0,2094.0,31.37
1983-09-26,84.0,2153.0,31.3
1983-09-27,204.0,2320.0,31.15
1983-09-28,448.0,2286.0,31.06
1983-09-29,506.0,2309.0,30.86
1983-09-30,396.0,3017.0,30.53
1983-10-03,1021.0,3054.0,30.32
1983-10-04,872.0,2902.0,29.77
1983-10-05,925.0,2765.0,30.6
1983-10-06,680.0,2835.0,30.14
1983-10-07,440.0,2938.0,30.37
1983-10-10,355.0,2619.0,30.75
1983-10-11,465.0,2323.0,30.78
1983-10-12,822.0,2225.0,30.57
1983-10-13,428.0,2162.0,30.5
1983-10-14,240.0,1871.0,30.73
1983-10-17,146.0,1740.0,30.5
1983-10-18,813.0,827.0,30.61
1983-10-19,1209.0,6702.0,30.53
1983-10-20,913.0,6491.0,30.2
1983-10-21,1197.0,6392.0,30.25
1983-10-24,608.0,6255.0,30.42
1983-10-25,493.0,5915.0,30.47
1983-10-26,431.0,6069.0,30.25
1983-10-27,1257.0,5768.0,30.25
1983-10-28,849.0,5625.0,30.35
1983-10-31,1482.0,5310.0,30.16
1983-11-01,563.0,5194.0,30.42
1983-11-02,751.0,5100.0,30.41
1983-11-03,873.0,4608.0,30.4
1983-11-04,1127.0,4363.0,30.42
1983-11-07,817.0,4224.0,30.41
1983-11-08,448.0,3945.0,30.38
1983-11-09,660.0,3778.0,30.4
1983-11-10,649.0,3124.0,30.28
1983-11-11,1469.0,2934.0,30.31
1983-11-14,867.0,2281.0,30.09
1983-11-15,665.0,2052.0,30.1
1983-11-16,902.0,1067.0,30.2
1983-11-17,1667.0,5186.0,29.25
1983-11-18,2373.0,5343.0,29.2
1983-11-21,2555.0,5063.0,29.05
1983-11-22,695.0,5416.0,29.13
1983-11-23,1216.0,5508.0,29.18
1983-11-28,1185.0,5389.0,29.45
1983-11-29,1099.0,5665.0,29.65
1983-11-30,1053.0,5548.0,29.37
1983-12-01,1438.0,5436.0,29.25
1983-12-02,914.0,5230.0,29.35
1983-12-05,931.0,5027.0,29.4
1983-12-06,421.0,5237.0,29.22
1983-12-07,764.0,4087.0,29.1
1983-12-08,1196.0,4008.0,29.06
1983-12-09,594.0,3992.0,29.23
1983-12-12,196.0,3757.0,29.38
1983-12-13,599.0,3395.0,29.3
1983-12-14,672.0,3126.0,29.2
1983-12-15,1492.0,2222.0,29.21
1983-12-16,1321.0,936.0,29.13
1983-12-19,1181.0,9478.0,28.27
1983-12-20,1413.0,9879.0,28.47
1983-12-21,2319.0,9676.0,29.0
1983-12-22,2536.0,8563.0,28.93
1983-12-23,993.0,8614.0,29.15
1983-12-27,1948.0,7808.0,29.59
1983-12-28,2347.0,7226.0,29.7
1983-12-29,1052.0,7246.0,29.65
1983-12-30,1570.0,7439.0,29.66
1984-01-03,1185.0,7167.0,29.57
1984-01-04,729.0,6928.0,29.5
1984-01-05,782.0,6262.0,30.0
1984-01-06,2177.0,5365.0,29.4
1984-01-09,1057.0,5477.0,29.08
1984-01-10,645.0,4997.0,29.53
1984-01-11,1274.0,5313.0,29.65
1984-01-12,1255.0,4696.0,29.5
1984-01-13,1350.0,4239.0,29.5
1984-01-16,887.0,2950.0,29.7
1984-01-17,2050.0,2378.0,29.77
1984-01-18,885.0,1809.0,29.45
1984-01-19,1244.0,8935.0,29.85
1984-01-20,2842.0,8505.0,29.95
1984-01-23,1421.0,9369.0,29.97
1984-01-24,2265.0,9465.0,29.5
1984-01-25,1822.0,8751.0,29.73
1984-01-26,1238.0,8471.0,29.68
1984-01-27,1863.0,7327.0,30.0
1984-01-30,2910.0,7317.0,30.05
1984-01-31,1303.0,7808.0,29.94
1984-02-01,1939.0,7428.0,30.15
1984-02-02,1579.0,7350.0,30.27
1984-02-03,721.0,7401.0,30.22
