Date,SP500 Futures-Volume,SP500 Futures-Previous Day Open Interest,SP500 Futures-Open
1982-04-21,,412.0,116.35
1982-04-22,3696.0,719.0,117.0
1982-04-23,2827.0,946.0,118.4
1982-04-26,2933.0,1084.0,119.3
1982-04-27,2871.0,1142.0,120.2
1982-04-28,3854.0,1306.0,118.55
1982-04-29,3998.0,1219.0,117.5
1982-04-30,3446.0,1295.0,117.55
1982-05-03,2722.0,1585.0,117.1
1982-05-04,2695.0,1537.0,117.25
1982-05-05,2467.0,1662.0,117.85
1982-05-06,2556.0,2078.0,118.05
1982-05-07,4574.0,2128.0,119.15
1982-05-10,3715.0,2467.0,119.2
1982-05-11,3794.0,2998.0,118.45
1982-05-12,4460.0,2655.0,119.85
1982-05-13,4798.0,2935.0,119.55
1982-05-14,4736.0,2751.0,118.55
1982-05-17,3748.0,2929.0,118.15
1982-05-18,3973.0,3399.0,116.6
1982-05-19,6090.0,3732.0,115.95
1982-05-20,6686.0,4858.0,114.85
1982-05-21,7539.0,4697.0,115.25
1982-05-24,4763.0,4717.0,114.8
1982-05-25,4917.0,5155.0,115.2
1982-05-26,13321.0,5187.0,114.0
1982-05-27,11687.0,3841.0,112.45
1982-05-28,9825.0,3977.0,111.7
1982-06-01,6838.0,4167.0,110.75
1982-06-02,7378.0,4140.0,110.3
1982-06-03,7273.0,3678.0,111.65
1982-06-04,8020.0,3412.0,110.4
1982-06-07,7160.0,4197.0,108.1
1982-06-08,9489.0,3902.0,108.8
1982-06-09,11257.0,3948.0,108.5
1982-06-10,10188.0,3074.0,108.5
1982-06-11,7299.0,2723.0,110.2
1982-06-14,4013.0,2566.0,110.0
1982-06-15,2250.0,2021.0,109.05
1982-06-16,1246.0,1575.0,109.9
1982-06-17,1135.0,642.0,108.0
1982-06-18,401.0,7232.0,105.8
1982-06-21,7257.0,7596.0,105.2
1982-06-22,10875.0,7837.0,106.5
1982-06-23,11220.0,7073.0,108.85
1982-06-24,13395.0,6153.0,112.1
1982-06-25,13891.0,6345.0,110.0
1982-06-28,9903.0,6249.0,110.05
1982-06-29,9531.0,6007.0,111.85
1982-06-30,9849.0,6654.0,113.3
1982-07-01,10742.0,6786.0,111.5
1982-07-02,8745.0,6885.0,109.55
1982-07-06,7316.0,6954.0,108.4
1982-07-07,9978.0,7096.0,108.8
1982-07-08,11699.0,6964.0,109.5
1982-07-09,14449.0,7449.0,111.5
1982-07-12,14711.0,8259.0,112.9
1982-07-13,11499.0,8510.0,110.7
1982-07-14,11999.0,8622.0,111.5
1982-07-15,10248.0,8544.0,113.7
1982-07-16,11745.0,8706.0,113.5
1982-07-19,7792.0,9426.0,114.35
1982-07-20,8940.0,9672.0,113.0
1982-07-21,10020.0,9539.0,114.1
1982-07-22,10457.0,9470.0,113.1
1982-07-23,10404.0,10297.0,113.4
1982-07-26,7656.0,9894.0,111.8
1982-07-27,8221.0,9900.0,111.35
1982-07-28,9249.0,11678.0,110.5
1982-07-29,11915.0,10335.0,108.7
1982-07-30,13785.0,10268.0,108.8
1982-08-02,11330.0,9171.0,108.6
1982-08-03,11397.0,9354.0,109.45
1982-08-04,11137.0,10020.0,107.0
1982-08-05,12443.0,9929.0,104.75
1982-08-06,12454.0,10023.0,104.8
1982-08-09,10931.0,9370.0,101.95
1982-08-10,13245.0,9772.0,103.85
1982-08-11,15112.0,9652.0,102.0
1982-08-12,14232.0,9507.0,103.05
1982-08-13,11643.0,8913.0,102.5
1982-08-16,9726.0,8800.0,105.6
1982-08-17,13047.0,9350.0,103.9
1982-08-18,18093.0,9098.0,109.7
1982-08-19,19597.0,7868.0,108.25
1982-08-20,19280.0,7584.0,110.1
1982-08-23,14745.0,7704.0,112.9
1982-08-24,17050.0,8106.0,116.0
1982-08-25,18495.0,7705.0,115.0
1982-08-26,17624.0,7473.0,117.6
1982-08-27,17590.0,7268.0,116.4
1982-08-30,13816.0,7655.0,115.75
1982-08-31,13221.0,7119.0,117.8
1982-09-01,16668.0,6952.0,119.15
1982-09-02,12654.0,6990.0,117.5
1982-09-03,14702.0,6081.0,121.6
1982-09-07,14530.0,5765.0,123.4
1982-09-08,9915.0,4853.0,121.4
1982-09-09,11468.0,4854.0,122.0
1982-09-10,9196.0,3412.0,120.6
1982-09-13,5382.0,2680.0,119.6
1982-09-14,2738.0,2178.0,123.2
1982-09-15,2259.0,1850.0,123.85
1982-09-16,1414.0,1241.0,124.1
1982-09-17,888.0,10954.0,123.3
1982-09-20,14340.0,11204.0,121.65
1982-09-21,16759.0,10683.0,123.65
1982-09-22,19404.0,10569.0,127.05
1982-09-23,22335.0,10925.0,123.3
1982-09-24,22317.0,10656.0,123.0
1982-09-27,15462.0,10780.0,122.4
1982-09-28,10069.0,10686.0,124.3
1982-09-29,17985.0,11262.0,122.35
1982-09-30,19153.0,11819.0,120.0
1982-10-01,18840.0,12548.0,119.25
1982-10-04,15177.0,13103.0,119.2
1982-10-05,18976.0,12780.0,120.55
1982-10-06,17402.0,12448.0,121.0
1982-10-07,18453.0,10675.0,128.7
1982-10-08,27013.0,10648.0,130.75
1982-10-11,22558.0,11515.0,134.5
1982-10-12,22804.0,11268.0,135.5
1982-10-13,26732.0,11790.0,133.4
1982-10-14,25619.0,11416.0,137.25
1982-10-15,19080.0,11736.0,134.45
1982-10-18,16647.0,11999.0,134.9
1982-10-19,17767.0,11593.0,139.3
1982-10-20,25602.0,11843.0,137.0
1982-10-21,25255.0,12430.0,141.4
1982-10-22,24593.0,12057.0,140.9
1982-10-25,25660.0,12606.0,136.8
1982-10-26,24146.0,11991.0,134.25
1982-10-27,35673.0,10719.0,136.25
1982-10-28,27437.0,10564.0,136.3
1982-10-29,22202.0,11022.0,134.6
1982-11-01,17330.0,11170.0,135.0
1982-11-02,20160.0,11271.0,137.7
1982-11-03,26586.0,12819.0,139.2
1982-11-04,27615.0,11918.0,145.0
1982-11-05,32042.0,11621.0,143.25
1982-11-08,23553.0,11934.0,142.4
1982-11-09,20299.0,12225.0,142.4
1982-11-10,25233.0,12116.0,145.9
1982-11-11,29645.0,13398.0,140.5
