Date,USD Futures-Volume,USD Futures-Prev. Day Open Interest,USD Futures-Open
1985-11-20,,668.0,127.85
1985-11-21,11317.0,966.0,127.8
1985-11-22,9536.0,1222.0,127.52
1985-11-25,5863.0,1122.0,126.7
1985-11-26,3983.0,668.0,126.92
1985-11-27,5345.0,917.0,126.25
1985-11-29,4623.0,898.0,125.25
1985-12-02,1943.0,1045.0,124.8
1985-12-03,3566.0,924.0,126.28
1985-12-04,3799.0,1107.0,125.5
1985-12-05,2518.0,943.0,126.08
1985-12-06,2577.0,810.0,125.83
1985-12-09,1668.0,792.0,126.3
1985-12-10,1390.0,771.0,126.87
1985-12-11,1664.0,896.0,127.65
1985-12-12,3332.0,752.0,126.51
1985-12-13,1945.0,922.0,126.25
1985-12-16,1295.0,748.0,126.7
1985-12-17,1396.0,850.0,126.05
1985-12-18,1682.0,914.0,126.6
1985-12-19,1267.0,796.0,126.95
1985-12-20,354.0,800.0,126.7
1985-12-23,461.0,802.0,126.5
1985-12-24,369.0,777.0,126.3
1985-12-26,24.0,768.0,126.15
1985-12-27,258.0,447.0,125.15
1985-12-30,1022.0,437.0,124.4
1985-12-31,196.0,380.0,123.98
1986-01-02,212.0,555.0,123.63
1986-01-03,1586.0,843.0,124.35
1986-01-06,1069.0,942.0,124.85
1986-01-07,1611.0,946.0,123.65
1986-01-08,2120.0,982.0,123.87
1986-01-09,1708.0,1178.0,124.85
1986-01-10,2287.0,993.0,124.1
1986-01-13,1373.0,1110.0,125.1
1986-01-14,1261.0,1154.0,125.05
1986-01-15,633.0,1500.0,125.0
1986-01-16,1131.0,1601.0,124.25
1986-01-17,497.0,1536.0,124.82
1986-01-20,564.0,1502.0,125.15
1986-01-21,416.0,1555.0,124.75
1986-01-22,338.0,1684.0,125.1
1986-01-23,568.0,1464.0,124.8
1986-01-24,660.0,1346.0,123.6
1986-01-27,1604.0,1295.0,122.9
1986-01-28,707.0,1245.0,122.5
1986-01-29,296.0,1281.0,122.08
1986-01-30,266.0,1296.0,122.26
1986-01-31,316.0,1107.0,121.9
1986-02-03,736.0,1134.0,122.1
1986-02-04,427.0,1262.0,123.4
1986-02-05,602.0,1632.0,122.8
1986-02-06,1108.0,1786.0,121.61
1986-02-07,758.0,1721.0,122.0
1986-02-10,365.0,1910.0,121.27
1986-02-11,732.0,1862.0,120.75
1986-02-12,533.0,1769.0,119.95
1986-02-13,702.0,1752.0,120.3
1986-02-14,550.0,1760.0,119.55
1986-02-18,358.0,1757.0,119.2
1986-02-19,664.0,1806.0,117.5
1986-02-20,1441.0,1612.0,117.1
1986-02-21,1533.0,1417.0,118.2
1986-02-24,710.0,994.0,116.65
1986-02-25,1031.0,1113.0,115.25
1986-02-26,824.0,1016.0,115.35
1986-02-27,647.0,852.0,113.65
1986-02-28,743.0,806.0,114.66
1986-03-03,462.0,565.0,115.06
1986-03-04,574.0,466.0,114.3
1986-03-05,441.0,490.0,114.68
1986-03-06,750.0,602.0,115.55
1986-03-07,664.0,617.0,115.4
1986-03-10,554.0,534.0,116.22
1986-03-11,518.0,258.0,116.17
1986-03-12,485.0,183.0,115.78
1986-03-13,253.0,200.0,116.5
1986-03-14,29.0,183.0,115.2
1986-03-17,20.0,119.0,114.75
1986-03-18,20.0,72.0,114.95
1986-03-19,73.0,0.0,114.95
1986-03-20,12.0,2132.0,115.25
1986-03-21,703.0,2126.0,114.9
1986-03-24,390.0,2091.0,117.0
1986-03-25,662.0,2233.0,117.8
1986-03-26,566.0,2182.0,118.9
1986-03-27,238.0,2362.0,117.8
1986-03-31,298.0,2207.0,119.1
1986-04-01,324.0,2435.0,118.1
1986-04-02,449.0,2408.0,119.2
1986-04-03,213.0,2312.0,119.68
1986-04-04,341.0,2329.0,120.75
1986-04-07,297.0,2095.0,121.4
1986-04-08,614.0,2276.0,118.8
1986-04-09,613.0,2566.0,118.55
1986-04-10,862.0,2549.0,118.65
1986-04-11,868.0,2415.0,117.15
1986-04-14,1046.0,2515.0,118.0
1986-04-15,579.0,2454.0,118.05
1986-04-16,472.0,2713.0,115.87
1986-04-17,773.0,2772.0,114.7
1986-04-18,623.0,3300.0,114.09
1986-04-21,5276.0,2746.0,113.55
1986-04-22,2707.0,2597.0,112.8
1986-04-23,2603.0,2488.0,112.55
1986-04-24,1173.0,2535.0,112.85
1986-04-25,934.0,2522.0,113.3
1986-04-28,770.0,2527.0,111.8
1986-04-29,531.0,2615.0,111.9
1986-04-30,636.0,2805.0,112.55
1986-05-01,1819.0,2646.0,112.9
1986-05-02,1203.0,2626.0,113.7
1986-05-05,966.0,2756.0,112.05
1986-05-06,1471.0,2787.0,113.7
1986-05-07,1010.0,2847.0,112.62
1986-05-08,710.0,2998.0,111.3
1986-05-09,1700.0,3109.0,111.4
1986-05-12,1179.0,2973.0,111.0
1986-05-13,684.0,3007.0,111.05
1986-05-14,714.0,2976.0,112.0
1986-05-15,445.0,3015.0,111.75
1986-05-16,377.0,3043.0,112.9
1986-05-19,634.0,2716.0,113.55
1986-05-20,806.0,2618.0,113.2
1986-05-21,1162.0,2436.0,114.25
1986-05-22,1001.0,2123.0,114.8
1986-05-23,1185.0,2132.0,115.48
1986-05-27,592.0,2166.0,115.72
1986-05-28,686.0,1671.0,115.03
1986-05-29,740.0,1664.0,115.8
1986-05-30,396.0,1619.0,117.05
1986-06-02,741.0,1598.0,118.15
1986-06-03,810.0,1909.0,115.71
1986-06-04,813.0,2028.0,115.55
1986-06-05,616.0,1625.0,114.97
1986-06-06,467.0,1378.0,113.95
1986-06-09,511.0,1415.0,114.2
1986-06-10,349.0,958.0,113.64
1986-06-11,786.0,1155.0,112.8
1986-06-12,523.0,1042.0,112.85
1986-06-13,332.0,645.0,113.15
1986-06-16,408.0,770.0,112.2
1986-06-17,235.0,691.0,113.3
1986-06-18,89.0,0.0,113.56
1986-06-19,1.0,1451.0,114.3
1986-06-20,264.0,1421.0,114.8
1986-06-23,302.0,1443.0,115.8
1986-06-24,524.0,1415.0,113.95
1986-06-25,495.0,1688.0,113.5
1986-06-26,537.0,2139.0,113.5
1986-06-27,191.0,2204.0,113.42
1986-06-30,277.0,1541.0,112.25
1986-07-01,863.0,1648.0,111.8
1986-07-02,633.0,1701.0,111.8
1986-07-07,187.0,1536.0,111.0
1986-07-08,1050.0,1703.0,111.1
1986-07-09,738.0,1697.0,112.15
1986-07-10,600.0,1421.0,111.48
1986-07-11,425.0,1391.0,112.1
1986-07-14,283.0,1563.0,112.52
1986-07-15,587.0,1539.0,111.14
1986-07-16,539.0,1911.0,110.8
1986-07-17,1168.0,2111.0,110.59
1986-07-18,699.0,2043.0,111.0
1986-07-21,331.0,2008.0,109.75
1986-07-22,162.0,2001.0,109.85
1986-07-23,187.0,2117.0,110.1
1986-07-24,622.0,2119.0,110.4
1986-07-25,157.0,2450.0,111.37
1986-07-28,572.0,2034.0,110.75
1986-07-29,976.0,1769.0,109.67
1986-07-30,121.0,1741.0,109.81
1986-07-31,163.0,1757.0,108.6
1986-08-01,124.0,1795.0,108.2
1986-08-04,163.0,1946.0,108.3
1986-08-05,362.0,1963.0,109.25
1986-08-06,288.0,1957.0,108.6
1986-08-07,135.0,1963.0,107.97
1986-08-08,178.0,1937.0,108.2
1986-08-11,98.0,1988.0,107.8
1986-08-12,102.0,2039.0,108.35
1986-08-13,192.0,2065.0,108.22
1986-08-14,62.0,2071.0,107.8
1986-08-15,239.0,2047.0,107.64
1986-08-18,46.0,2100.0,107.7
1986-08-19,126.0,2012.0,108.3
1986-08-20,202.0,1943.0,107.15
1986-08-21,172.0,1719.0,107.31
1986-08-22,256.0,1543.0,106.8
1986-08-25,203.0,1542.0,107.1
1986-08-26,35.0,1676.0,107.3
1986-08-27,171.0,1519.0,108.0
1986-08-28,235.0,1552.0,107.55
1986-08-29,188.0,1601.0,106.88
1986-09-02,645.0,1107.0,106.55
1986-09-03,470.0,859.0,106.8
1986-09-04,55.0,727.0,106.4
1986-09-05,84.0,708.0,106.56
1986-09-08,97.0,740.0,108.0
1986-09-09,119.0,735.0,107.95
1986-09-10,8.0,625.0,107.45
1986-09-11,125.0,591.0,108.1
1986-09-12,57.0,568.0,108.36
1986-09-15,16.0,222.0,107.21
1986-09-16,401.0,184.0,107.1
1986-09-17,103.0,0.0,106.7
1986-09-18,15.0,1238.0,106.97
1986-09-19,549.0,1221.0,105.69
1986-09-22,82.0,1258.0,107.0
1986-09-23,259.0,1258.0,108.3
1986-09-24,131.0,1350.0,108.1
1986-09-25,277.0,1382.0,108.7
1986-09-26,183.0,1364.0,108.3
1986-09-29,236.0,1354.0,107.58
1986-09-30,209.0,1340.0,107.2
1986-10-01,134.0,1357.0,107.83
1986-10-02,195.0,1372.0,107.6
1986-10-03,45.0,1385.0,106.91
1986-10-06,97.0,1405.0,106.65
1986-10-07,74.0,1400.0,107.21
1986-10-08,539.0,1367.0,107.1
1986-10-09,311.0,1425.0,106.76
1986-10-10,195.0,1376.0,106.6
1986-10-13,127.0,1418.0,106.1
1986-10-14,72.0,1321.0,106.06
1986-10-15,320.0,1435.0,105.78
1986-10-16,56.0,1443.0,105.45
1986-10-17,117.0,1449.0,105.53
1986-10-20,42.0,1392.0,105.9
1986-10-21,256.0,1312.0,106.68
1986-10-22,306.0,1276.0,106.25
1986-10-23,82.0,1317.0,106.92
1986-10-24,403.0,1252.0,108.1
1986-10-27,325.0,1286.0,108.8
1986-10-28,141.0,1293.0,108.43
1986-10-29,134.0,1276.0,108.26
1986-10-30,45.0,1356.0,108.0
1986-10-31,213.0,1342.0,110.3
1986-11-03,172.0,1327.0,110.06
1986-11-04,169.0,1297.0,109.4
1986-11-05,208.0,1321.0,110.01
1986-11-06,130.0,1323.0,109.78
1986-11-07,67.0,1327.0,109.55
1986-11-10,70.0,1345.0,108.54
1986-11-11,148.0,1325.0,108.28
1986-11-12,93.0,1337.0,107.87
1986-11-13,219.0,1339.0,107.88
1986-11-14,140.0,1399.0,107.64
1986-11-17,157.0,1375.0,107.63
1986-11-18,68.0,1900.0,108.05
1986-11-19,656.0,1773.0,107.81
1986-11-20,248.0,1242.0,107.55
1986-11-21,1116.0,1375.0,108.06
1986-11-24,555.0,1385.0,108.35
1986-11-25,95.0,1411.0,107.84
1986-11-26,231.0,1160.0,106.73
1986-11-28,646.0,1163.0,106.3
1986-12-01,130.0,815.0,105.66
1986-12-02,799.0,895.0,106.32
1986-12-03,947.0,895.0,106.3
1986-12-04,200.0,547.0,106.42
1986-12-05,541.0,499.0,106.85
1986-12-08,698.0,461.0,107.24
1986-12-09,331.0,454.0,107.43
1986-12-10,73.0,344.0,107.69
1986-12-11,142.0,342.0,107.49
1986-12-12,28.0,338.0,108.02
1986-12-15,21.0,333.0,107.45
1986-12-16,23.0,330.0,107.72
1986-12-17,40.0,0.0,107.65
1986-12-18,11.0,837.0,108.44
1986-12-19,65.0,826.0,108.12
1986-12-22,60.0,972.0,107.29
1986-12-23,417.0,1092.0,106.75
1986-12-24,81.0,1103.0,106.3
1986-12-29,69.0,994.0,105.54
1986-12-30,149.0,992.0,105.6
1986-12-31,58.0,993.0,105.13
1987-01-05,108.0,1076.0,104.5
1987-01-06,263.0,1288.0,104.34
1987-01-07,555.0,1279.0,104.84
1987-01-08,313.0,1282.0,104.93
1987-01-09,198.0,1279.0,104.41
1987-01-12,156.0,1281.0,103.7
1987-01-13,196.0,1295.0,102.43
1987-01-14,313.0,1299.0,101.74
1987-01-15,1810.0,1042.0,100.87
1987-01-16,1432.0,1605.0,101.4
1987-01-19,667.0,1384.0,99.33
1987-01-20,423.0,1641.0,100.52
1987-01-21,753.0,1955.0,101.4
1987-01-22,238.0,1169.0,100.13
1987-01-23,847.0,1054.0,99.89
1987-01-26,309.0,2436.0,100.04
1987-01-27,447.0,1389.0,99.85
1987-01-28,228.0,1276.0,97.74
1987-01-29,1165.0,1368.0,98.43
1987-01-30,589.0,1415.0,99.54
1987-02-02,762.0,1371.0,99.83
1987-02-03,470.0,1652.0,98.84
1987-02-04,787.0,1474.0,99.46
1987-02-05,374.0,1295.0,100.25
1987-02-06,821.0,1736.0,101.27
1987-02-09,624.0,1623.0,100.45
1987-02-10,988.0,1632.0,99.48
1987-02-11,3693.0,1689.0,99.75
1987-02-12,1815.0,1739.0,99.66
1987-02-13,1694.0,1774.0,100.33
1987-02-17,1538.0,1751.0,99.28
1987-02-18,1003.0,1783.0,99.89
1987-02-19,1581.0,1846.0,100.8
1987-02-20,3495.0,1808.0,99.99
1987-02-23,1401.0,1775.0,99.72
1987-02-24,1418.0,1375.0,100.0
1987-02-25,1337.0,1376.0,99.52
1987-02-26,1298.0,1625.0,99.48
1987-02-27,1397.0,1722.0,99.65
