Date,Crude Volume,Crude PDOI
1983-03-30,,283.0
1983-03-31,471.0,335.0
1983-04-04,399.0,334.0
1983-04-05,185.0,390.0
1983-04-06,164.0,418.0
1983-04-07,257.0,437.0
1983-04-08,364.0,484.0
1983-04-11,391.0,546.0
1983-04-12,347.0,538.0
1983-04-13,202.0,681.0
1983-04-14,535.0,659.0
1983-04-15,185.0,755.0
1983-04-18,332.0,733.0
1983-04-19,98.0,676.0
1983-04-20,182.0,669.0
1983-04-21,190.0,698.0
1983-04-22,139.0,748.0
1983-04-25,133.0,736.0
1983-04-26,140.0,759.0
1983-04-27,207.0,766.0
1983-04-28,136.0,840.0
1983-04-29,266.0,856.0
1983-05-02,152.0,868.0
1983-05-03,169.0,955.0
1983-05-04,338.0,998.0
1983-05-05,285.0,1085.0
1983-05-06,194.0,1086.0
1983-05-09,282.0,1174.0
1983-05-10,517.0,1235.0
1983-05-11,633.0,1185.0
1983-05-12,237.0,1185.0
1983-05-13,384.0,1110.0
1983-05-16,258.0,1184.0
1983-05-17,606.0,1124.0
1983-05-18,283.0,1086.0
1983-05-19,108.0,930.0
1983-05-20,0.0,930.0
1983-05-23,235.0,972.0
1983-05-24,326.0,1008.0
1983-05-25,233.0,1032.0
1983-05-26,130.0,1067.0
1983-05-27,136.0,1116.0
1983-05-31,195.0,1123.0
1983-06-01,158.0,1110.0
1983-06-02,229.0,1131.0
1983-06-03,24.0,1073.0
1983-06-06,140.0,1081.0
1983-06-07,100.0,1085.0
1983-06-08,289.0,1368.0
1983-06-09,484.0,1262.0
1983-06-10,235.0,1375.0
1983-06-13,205.0,1451.0
1983-06-14,359.0,1450.0
1983-06-15,403.0,1521.0
1983-06-16,262.0,1529.0
1983-06-17,611.0,1529.0
1983-06-20,182.0,1003.0
1983-06-21,139.0,1032.0
1983-06-22,88.0,1034.0
1983-06-23,138.0,1062.0
1983-06-24,95.0,1090.0
1983-06-27,107.0,1110.0
1983-06-28,111.0,1128.0
1983-06-29,220.0,1162.0
1983-06-30,177.0,1247.0
1983-07-01,267.0,1263.0
1983-07-05,52.0,1261.0
1983-07-06,182.0,1734.0
1983-07-07,836.0,1758.0
1983-07-08,336.0,1752.0
1983-07-11,252.0,1782.0
1983-07-12,212.0,1811.0
1983-07-13,501.0,1861.0
1983-07-14,729.0,1734.0
1983-07-15,229.0,1955.0
1983-07-18,312.0,1746.0
1983-07-19,594.0,1603.0
1983-07-20,262.0,1617.0
1983-07-21,94.0,1642.0
1983-07-22,126.0,1641.0
1983-07-25,306.0,1657.0
1983-07-26,63.0,1759.0
1983-07-27,184.0,1685.0
1983-07-28,417.0,1754.0
1983-07-29,518.0,1900.0
1983-08-01,498.0,1948.0
1983-08-02,219.0,1973.0
1983-08-03,267.0,2159.0
1983-08-04,378.0,2137.0
1983-08-05,194.0,2068.0
1983-08-08,127.0,2085.0
1983-08-09,72.0,2134.0
1983-08-10,219.0,2025.0
1983-08-11,470.0,1975.0
1983-08-12,586.0,2115.0
1983-08-15,288.0,2226.0
1983-08-16,223.0,2136.0
1983-08-17,264.0,1892.0
1983-08-18,187.0,1862.0
1983-08-19,175.0,1496.0
1983-08-22,144.0,1463.0
1983-08-23,131.0,1423.0
1983-08-24,147.0,1437.0
1983-08-25,307.0,1680.0
1983-08-26,547.0,1830.0
1983-08-29,193.0,1897.0
1983-08-30,117.0,1973.0
1983-08-31,115.0,1975.0
1983-09-01,163.0,2039.0
1983-09-02,214.0,2076.0
1983-09-06,58.0,2215.0
1983-09-07,290.0,2230.0
1983-09-08,321.0,2320.0
1983-09-09,393.0,2330.0
1983-09-12,568.0,2342.0
1983-09-13,304.0,2493.0
1983-09-14,392.0,2598.0
1983-09-15,452.0,2581.0
1983-09-16,267.0,2562.0
1983-09-19,150.0,3865.0
1983-09-20,253.0,3841.0
1983-09-21,354.0,3767.0
1983-09-22,932.0,3772.0
1983-09-23,533.0,3686.0
1983-09-26,233.0,3752.0
1983-09-27,281.0,3574.0
1983-09-28,185.0,3850.0
1983-09-29,1020.0,4564.0
1983-09-30,1883.0,4996.0
1983-10-03,1327.0,6545.0
1983-10-04,3390.0,6897.0
1983-10-05,3125.0,7000.0
1983-10-06,2514.0,7106.0
1983-10-07,1173.0,6877.0
1983-10-10,1094.0,6943.0
1983-10-11,1250.0,6764.0
1983-10-12,1066.0,6635.0
1983-10-13,1069.0,6867.0
1983-10-14,1397.0,6720.0
1983-10-17,964.0,6806.0
1983-10-18,807.0,6805.0
1983-10-19,735.0,2639.0
1983-10-20,398.0,2964.0
1983-10-21,558.0,3161.0
1983-10-24,365.0,3124.0
